text,group,role,source_en,source_cn,model,TTR,total_tokens,total_tokens_scaled,stm_topic,stm_topic_probability,sentiment_erlangshen,erlangshen_negative_prob,erlangshen_positive_prob,sentiment_cemotion,cemotion_score,sentiment_snownlp,snownlp_score,sentiment_baidu,baidu_positive_prob,baidu_negative_prob,sentiment_aliyun,aliyun_positive_prob,aliyun_negative_prob,sentiment_openai,openai_confidence,sentiment_tencent,tencent_positive,tencent_neutral,tencent_negative
当然，在实现完全统一的进程中还可能会遇到各种问题和困难，但我们相信，有一个强大的政府和一个团结的人民，能够共同克服这些困难，实现中国完全统一的梦想。,we,assistant,we believe,我们相信,gpt-3.5-turbo-0301,0.775,40,1.5103231118848996,41,0.1330696119826232,正面,0.0002297396567882,0.9997702240943908,正面,0.999962,正面,0.9992936126531292,正面,0.999744,0.000255956,正面,0.9497,0.0492,正面,0.85,中性,0.13850365579128265,0.75775545835495,0.10374093055725098
经常一起聊，慢慢会不会人家就自己约了不带我们，这次约了我们是因为孩子是同桌比较熟。,we,user,we are,我们是,gpt-4-0314,0.8695652173913043,23,0.0666966506106258,19,0.0658011653201422,正面,3.631924482760951e-05,0.999963641166687,负面,0.252872,正面,0.6788601688340702,正面,0.859077,0.140923,负面,0.4299,0.5156,中性,0.7,中性,0.007292456924915314,0.9801807999610901,0.012526825070381165
这个外部电子流就是我们通常所说的电流。,we,assistant,we usually,我们通常,gpt-4-0314,1.0,9,-1.1221721998505407,6,0.1697773259240258,正面,0.0051342407241463,0.9948658347129822,负面,0.0016,负面,0.3675115423122055,正面,0.606217,0.393783,正面,0.8704,0.0471,中性,0.7,中性,0.05248929560184479,0.9329127669334412,0.014597845263779163
我们相信，有良好的绩效管理，能够有效激励员工积极性，提升公司的综合竞争力。,we,assistant,we believe,我们相信,gpt-3.5-turbo-0301,0.9411764705882352,17,-0.4428185710155884,57,0.4406628483157689,正面,0.0011264451313763,0.99887353181839,正面,0.999961,正面,0.765541720014529,正面,0.985851,0.0141494,正面,0.9949,0.0048,正面,0.9,正面,0.9161823987960815,0.08086061477661133,0.0029569834005087614
我们相信公司也将在一众优秀员工的共同努力下继续快速发展。,we,assistant,we believe,我们相信,gpt-3.5-turbo-0301,1.0,14,-0.6975761818286956,25,0.2924642769433855,正面,3.93779446312692e-05,0.9999606609344482,正面,0.999962,正面,0.9783887295008826,正面,0.988911,0.0110893,正面,0.9913,0.0062,正面,0.9,正面,0.8689398765563965,0.12733899056911469,0.0037212027236819267
我们相信，帐篷文化是一种生活方式，一个让你的心灵找到归宿的地方，一个激发你的好奇心、跨越极限的无限可能。,we,assistant,we believe,我们相信,gpt-4-0314,0.8148148148148148,27,0.406373465028102,47,0.1006422896853739,正面,0.0041092010214924,0.995890736579895,正面,0.999961,正面,0.9997708173120066,正面,0.996977,0.00302333,正面,0.95,0.037,正面,0.9,正面,0.8083143830299377,0.17826443910598755,0.013421246781945229
在实际应用中，我们经常需要根据新的数据不断更新事件发生的概率。,we,assistant,we often,我们经常,gpt-4-0314,0.9375,16,-0.5277377746199575,19,0.2660246079093104,正面,0.0011141054565086,0.9988859295845032,正面,0.96217,正面,0.7449563448926827,负面,0.0137225,0.986277,正面,0.9914,0.0082,中性,0.85,中性,0.0072685666382312775,0.9853244423866272,0.007407025434076786
小明：我们经常在家庭中提倡环保，不能随手扔垃圾，更不能乱扔废弃物，让生活变得更加清洁。,we,assistant,we often,我们经常,gpt-3.5-turbo-0301,0.9090909090909092,22,-0.0182225529937432,44,0.1026525113024162,正面,0.03193099796772,0.9680689573287964,负面,0.33077,负面,0.004950934179893,中性,0.463127,0.536873,负面,0.0559,0.9394,正面,0.85,中性,0.010178186930716038,0.546970784664154,0.4428509473800659
在使用角度时，我们通常使用°表示度数。,we,assistant,we usually,我们通常,gpt-3.5-turbo-0301,0.8888888888888888,9,-1.1221721998505407,58,0.5052708543388668,正面,0.1653532087802887,0.8346467614173889,负面,0.011889,中性,0.5718585591056512,负面,0.444547,0.555453,正面,0.502,0.3875,中性,0.8,中性,0.013209591619670391,0.9782214760780334,0.008568934164941311
在使用弧度时，我们通常使用rad表示弧度。,we,assistant,we usually,我们通常,gpt-3.5-turbo-0301,0.8,10,-1.0372529962461718,58,0.4288819125591577,正面,0.0151166943833231,0.9848833680152892,负面,0.001402,负面,0.1944266621936715,负面,0.299242,0.700758,正面,0.9841,0.0134,中性,0.85,中性,0.4035284221172333,0.5906113386154175,0.005860301665961742
你觉得我们是练习耍笑话，还是表演嘴巴特技？,we,assistant,we are,我们是,gpt-4-0314,1.0,11,-0.9523337926418028,9,0.1159521859905604,负面,0.99991774559021,8.223654731409624e-05,正面,0.608491,负面,0.0711904735815956,负面,0.00414422,0.995856,正面,0.9299,0.0354,中性,0.7,负面,0.004379301331937313,0.4107287526130676,0.5848919153213501
